time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2020-12-28T05:15:32Z,161,0,0,0,0,0,4382270,2401,1236225,156,0,0,0,0,0,41369,193,0,0,0,0,0,20574,199,7,0,85,79,124,20792,8,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4264640,2,3940434,1,57,62,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,1609132530092,3145728,0,0,0,205,1,20,1,5,1,0,0,3,2,0,0,205,1,280576,71,338072,1,0,112,28679151,3687,0,0,0,0,0,0,0,0,3,20,87550704,9,0,0,0,0,0,0,41764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:16:55Z,161,0,0,0,0,0,4073886,2401,927889,108,0,0,0,0,0,1887,106,0,0,0,0,0,925,106,7,0,9,5,106,964,8,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4537546,3,4460390,1,89,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1609132614498,3145728,0,0,0,167,1,22,1,5,1,0,0,3,2,0,0,167,1,62464,27,77270,1,0,97,8602703,1182,0,0,0,0,0,0,0,0,3,26,19122240,7,0,0,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:25:22Z,665,0,0,0,0,0,3833982,2401,687481,108,0,0,0,0,0,728,75,0,0,0,0,0,347,77,7,0,9,1,81,379,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4620631,4,4575228,1,70,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1609133120579,3145728,0,0,0,151,1,20,1,4,1,0,0,3,2,0,0,151,0,63488,31,49786,1,0,70,5848469,833,0,0,0,0,0,0,0,0,2,20,33855888,5,0,0,0,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:25:37Z,161,0,0,0,0,0,3182626,2401,36521,216,0,0,0,0,0,364,6,0,0,0,0,0,168,6,6,0,7,1,10,196,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4638562,5,4633860,1,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1609133136006,3145728,0,0,0,24,1,18,1,5,1,0,0,3,2,0,0,24,1,14336,7,4816,1,0,0,5078016,628,0,0,0,0,0,0,0,0,2,20,33886480,5,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:26:31Z,161,0,0,0,0,0,3181979,2058,35874,216,0,0,0,0,0,326,6,0,0,0,0,0,150,7,6,0,8,1,12,176,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4657095,6,4653157,1,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1609133191068,3145728,0,0,0,21,1,17,1,5,1,0,0,3,2,0,0,21,1,14336,7,5731,1,0,0,4846592,598,0,0,0,0,0,0,0,0,2,16,32973928,4,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:26:45Z,161,0,0,0,0,0,3184251,2058,38146,216,0,0,0,0,0,439,6,0,0,0,0,0,206,8,6,0,9,1,13,232,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4682314,7,4678939,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1609133204673,3145728,0,0,0,22,1,20,1,5,1,0,0,3,2,0,0,22,1,18432,9,7746,1,0,0,4862976,599,0,0,0,0,0,0,0,0,2,13,31908368,4,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:27:23Z,161,0,0,0,0,0,3182706,2401,36521,296,0,0,0,0,0,331,6,0,0,0,0,0,151,6,6,0,7,1,10,181,8,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4698693,8,4694317,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1609133243092,3145728,0,0,0,23,1,18,1,5,1,0,0,3,2,0,0,23,1,16384,8,4490,1,0,0,4836352,597,0,0,0,0,0,0,0,0,2,15,35056992,4,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:28:23Z,665,0,0,0,0,0,3392842,2401,245825,624,0,0,0,0,0,768,22,0,0,0,0,0,0,27,7,0,8,1,27,253,128,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4698693,8,4694317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609133243092,3145728,0,0,0,404,76,719,76,2,76,0,0,3,76,0,0,404,1,83968,41,3938,9,0,140,1346801,505,10904,67,0,0,0,0,0,0,3,81,35656488,3,0,0,0,0,0,0,723,0,0,0,1,0,1,0,98,0,6,0,192,0,0,0,0,0,0,0,0,0,0,653,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:29:23Z,665,0,0,0,0,0,3963874,2401,816857,624,0,0,0,0,0,1085,58,0,0,0,0,0,0,89,7,0,8,1,64,74,55,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4698693,8,4694317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609133243092,3145728,0,0,0,167,219,1882,219,0,219,0,0,3,219,0,0,167,1,145408,71,4859,51,0,58,434259,154,67272,168,0,0,0,0,0,0,2,20,25083240,2,0,0,0,0,0,0,374,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:30:23Z,665,0,0,0,0,0,3975426,2401,828409,624,0,0,0,0,0,210,1,0,0,0,0,0,0,90,7,0,8,1,65,14,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4698693,8,4694317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609133243092,3145728,0,0,0,3,6,55,6,0,6,0,0,3,6,0,0,3,1,2048,1,77,1,0,1,9771,3,334,5,0,0,0,0,0,0,0,0,35569000,2,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
